timestamp,sensor_id,temperature,light,humidity,pressure,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,rolling_std
36629,4,16781.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0652191333393457
36828,4,16781.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0649475312708791
37029,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0646591685749831
37228,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0624338033278431
37428,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0561743318211757
37628,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0514045157785213
37880,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0509604719068583
38028,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0504925236990086
38229,4,16791.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047396884353981
38429,4,16801.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0479372485441102
38629,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047396884353981
38939,4,16801.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,0.9,0.047396884353981
39038,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0439926531974776
39228,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0433333333333334
39428,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0426401432711221
39628,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0426401432711221
39875,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0419114024647906
40029,4,16811.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0411452219939241
40229,4,16821.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0411452219939241
40428,4,16821.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0411452219939241
40628,4,16821.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0368452949177471
40878,4,16831.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0368452949177471
41028,4,16831.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0368452949177471
41229,4,16841.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0377525168068637
41428,4,16841.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0377525168068637
41673,4,16831.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0368452949177471
41828,4,16831.0,2800.0,52.0,100030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0368452949177471
